"bldg_id","in.sqft","in.bedrooms","in.city","in.clothes_dryer","in.clothes_washer","in.cooking_range","in.county","in.dishwasher","in.water_heater_fuel","in.refrigerator","in.vacancy_status","in.income","in.occupants","in.heating_fuel","in.heating_setpoint","in.cooling_setpoint","in.hvac_cooling_efficiency","in.hvac_heating_efficiency"
379230,1220,3,"SC, Sumter","Propane, 100% Usage","Standard, 100% Usage","Electric, 100% Usage","G4500850","290 Rated kWh, 100% Usage","Electricity","None","Occupied","10000-14999","1","Fuel Oil","65F","70F","AC, SEER 13","Fuel Furnace, 80% AFUE"
379512,1220,2,"In another census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","None","Electricity","EF 19.9, 100% Usage","Vacant","200000+","2","Natural Gas","55F","72F","AC, SEER 10","Fuel Furnace, 92.5% AFUE"
381172,2176,4,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Gas, 100% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","200000+","2","Natural Gas","60F","72F","AC, SEER 15","Fuel Furnace, 92.5% AFUE"
381770,1690,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Electric, 120% Usage","G4500730","318 Rated kWh, 120% Usage","Electricity","EF 17.6, 100% Usage","Occupied","25000-29999","1","Electricity","65F","75F","AC, SEER 13","Electric Furnace, 100% AFUE"
382815,8194,3,"Not in a census Place","Electric, 80% Usage","EnergyStar, 80% Usage","Gas, 80% Usage","G4500730","None","Electricity","EF 15.9, 100% Usage","Occupied","20000-24999","3","Natural Gas","75F","75F","AC, SEER 13","Fuel Furnace, 80% AFUE"
383682,2663,3,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","70000-79999","3","Natural Gas","65F","65F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
384855,1690,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500850","290 Rated kWh, 120% Usage","Electricity","EF 15.9, 100% Usage","Occupied","80000-99999","4","Electricity","75F","70F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
385808,1690,3,"Not in a census Place","Electric, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","120000-139999","2","Natural Gas","70F","76F","AC, SEER 13","Fuel Furnace, 92.5% AFUE"
386994,1220,3,"In another census Place","Gas, 120% Usage","EnergyStar, 120% Usage","Gas, 120% Usage","G4500910","None","Electricity","EF 17.6, 100% Usage","Occupied","15000-19999","3","Natural Gas","72F","72F","None","Fuel Furnace, 92.5% AFUE"
387541,1220,3,"Not in a census Place","Electric, 100% Usage","Standard, 100% Usage","Gas, 100% Usage","G4500910","290 Rated kWh, 100% Usage","Natural Gas","EF 17.6, 100% Usage","Occupied","50000-59999","3","Natural Gas","68F","75F","AC, SEER 10","Fuel Furnace, 92.5% AFUE"
388701,1220,3,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500910","None","Propane","EF 17.6, 100% Usage","Occupied","120000-139999","2","Electricity","68F","78F","AC, SEER 13","Electric Furnace, 100% AFUE"
389908,1690,2,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","None","Natural Gas","EF 15.9, 100% Usage","Occupied","10000-14999","1","Natural Gas","72F","68F","Room AC, EER 10.7","Fuel Wall/Floor Furnace, 68% AFUE"
391469,2663,4,"Not in a census Place","Electric, 100% Usage","EnergyStar, 100% Usage","Electric, 100% Usage","G4500730","None","Electricity","EF 17.6, 100% Usage","Occupied","60000-69999","2","Electricity","65F","78F","AC, SEER 15","Electric Furnace, 100% AFUE"
391840,1220,3,"Not in a census Place","None","None","Propane, 100% Usage","G4500730","290 Rated kWh, 100% Usage","Electricity","EF 10.5, 100% Usage","Occupied","60000-69999","3","Propane","68F","75F","AC, SEER 13","Fuel Furnace, 80% AFUE"
392379,2176,4,"SC, Rock Hill","Electric, 80% Usage","Standard, 80% Usage","Gas, 80% Usage","G4500910","None","Natural Gas","EF 17.6, 100% Usage","Occupied","80000-99999","4","Natural Gas","75F","78F","AC, SEER 10","Fuel Furnace, 92.5% AFUE"
393427,3301,3,"Not in a census Place","Electric, 80% Usage","Standard, 80% Usage","Electric, 80% Usage","G4500730","None","Electricity","EF 15.9, 100% Usage","Occupied","70000-79999","2","Electricity","70F","75F","Heat Pump","ASHP, SEER 13, 7.7 HSPF"
